date,county,total_cases,percent_of_states_cases,incidence_rate,total_deaths,,,,,,,,,,,
20200716,Red River,123,0,1023,0,,,,,,,,,,,
20200716,Bailey,112,0,1600,0,,,,,,,,,,,
20200716,Hockley,111,0,482,0,,,,,,,,,,,
20200716,Limestone,110,0,469,0,,,,,,,,,,,
20200716,Upshur,109,0,261,0,,,,,,,,,,,
20200716,San Jacinto,109,0,378,0,,,,,,,,,,,
20200716,Kendall,106,0,223,0,,,,,,,,,,,
20200716,Leon,104,0,598,0,,,,,,,,,,,
20200716,Zapata,103,0,726,0,,,,,,,,,,,
20200716,Lee,103,0,597,0,,,,,,,,,,,
20200716,Cooke,100,0,242,0,,,,,,,,,,,
20200716,Hopkins,99,0,267,0,,,,,,,,,,,
20200716,Jackson,97,0,657,0,,,,,,,,,,,
20200716,Dawson,94,0,739,0,,,,,,,,,,,
20200716,Lamb,92,0,714,0,,,,,,,,,,,
20200716,Karnes,90,0,577,0,,,,,,,,,,,
20200716,Duval,89,0,798,0,,,,,,,,,,,
20200716,Jasper,88,0,248,0,,,,,,,,,,,
20200716,La Salle,87,0,1157,0,,,,,,,,,,,
20200716,Live Oak,85,0,696,0,,,,,,,,,,,
20200716,Trinity,84,0,573,0,,,,,,,,,,,
20200716,Hutchinson,84,0,401,0,,,,,,,,,,,
20200716,Freestone,83,0,421,0,,,,,,,,,,,
20200716,Reeves,82,0,513,0,,,,,,,,,,,
20200716,Palo Pinto,79,0,271,0,,,,,,,,,,,
20200716,Howard,76,0,207,0,,,,,,,,,,,
20200716,Cass,72,0,240,0,,,,,,,,,,,
20200716,Nolan,71,0,483,0,,,,,,,,,,,
20200716,Zavala,70,0,591,0,,,,,,,,,,,
20200716,Gillespie,70,0,259,0,,,,,,,,,,,
20200716,Aransas,65,0,276,0,,,,,,,,,,,
20200716,Crane,64,0,1334,0,,,,,,,,,,,
20200716,Marion,64,0,649,0,,,,,,,,,,,
20200716,Young,64,0,355,0,,,,,,,,,,,
20200716,Ochiltree,62,0,630,0,,,,,,,,,,,
20200716,Hartley,61,0,1094,0,,,,,,,,,,,
20200716,Franklin,61,0,569,0,,,,,,,,,,,
20200716,Floyd,61,0,1068,0,,,,,,,,,,,
20200716,Swisher,60,0,811,0,,,,,,,,,,,
20200716,Terry,59,0,478,0,,,,,,,,,,,
20200716,Falls,57,0,330,0,,,,,,,,,,,
20200716,Blanco,57,0,478,0,,,,,,,,,,,
20200716,Refugio,56,0,806,0,,,,,,,,,,,
20200716,Ward,55,0,458,0,,,,,,,,,,,
20200716,Lynn,55,0,924,0,,,,,,,,,,,
20200716,Morris,54,0,436,0,,,,,,,,,,,
20200716,Llano,53,0,243,0,,,,,,,,,,,
20200716,Winkler,47,0,587,0,,,,,,,,,,,
20200716,Gaines,46,0,214,0,,,,,,,,,,,
20200716,Bandera,46,0,199,0,,,,,,,,,,,
20200716,Tyler,45,0,208,0,,,,,,,,,,,
20200716,Brooks,45,0,634,0,,,,,,,,,,,
20200716,Yoakum,44,0,505,0,,,,,,,,,,,
20200716,Lampasas,44,0,205,0,,,,,,,,,,,
20200716,Bosque,43,0,230,0,,,,,,,,,,,
20200716,Crockett,41,0,1184,0,,,,,,,,,,,
20200716,Jim Hogg,41,0,788,0,,,,,,,,,,,
20200716,Hansford,40,0,741,0,,,,,,,,,,,
20200716,Reagan,39,0,1013,0,,,,,,,,,,,
20200716,Dimmit,39,0,385,0,,,,,,,,,,,
20200716,Garza,39,0,626,0,,,,,,,,,,,
20200716,Hamilton,39,0,461,0,,,,,,,,,,,
20200716,Mason,36,0,842,0,,,,,,,,,,,
20200716,Crosby,35,0,610,0,,,,,,,,,,,
20200716,Sabine,34,0,323,0,,,,,,,,,,,
20200716,Comanche,34,0,249,0,,,,,,,,,,,
20200716,Goliad,33,0,431,0,,,,,,,,,,,
20200716,Sherman,33,0,1092,0,,,,,,,,,,,
20200716,Donley,33,0,1007,0,,,,,,,,,,,
20200716,Montague,32,0,161,0,,,,,,,,,,,
20200716,Somervell,30,0,329,0,,,,,,,,,,,
20200716,Presidio,28,0,418,0,,,,,,,,,,,
20200716,Runnels,28,0,273,0,,,,,,,,,,,
20200716,Callahan,28,0,201,0,,,,,,,,,,,
20200716,Martin,28,0,485,0,,,,,,,,,,,
20200716,Mitchell,27,0,316,0,,,,,,,,,,,
20200716,Sutton,26,0,689,0,,,,,,,,,,,
20200716,Newton,26,0,191,0,,,,,,,,,,,
20200716,McCulloch,25,0,313,0,,,,,,,,,,,
20200716,Schleicher,25,0,895,0,,,,,,,,,,,
20200716,Hemphill,22,0,576,0,,,,,,,,,,,
20200716,Wheeler,22,0,435,0,,,,,,,,,,,
20200716,Rains,21,0,168,0,,,,,,,,,,,
20200716,Wilbarger,20,0,157,0,,,,,,,,,,,
20200716,Eastland,20,0,109,0,,,,,,,,,,,
20200716,Coleman,0,0,0,0,,,,,,,,,,,
20200716,Fisher,0,0,0,0,,,,,,,,,,,
20200716,Kenedy,0,0,0,0,,,,,,,,,,,
20200716,Mills,0,0,0,0,,,,,,,,,,,
20200716,Terrell,0,0,0,0,,,,,,,,,,,
20200716,Collingsworth,0,0,0,0,,,,,,,,,,,
20200716,Delta,0,0,0,0,,,,,,,,,,,
20200716,Hudspeth,0,0,0,0,,,,,,,,,,,
20200716,Kent,0,0,0,0,,,,,,,,,,,
20200716,McMullen,0,0,0,0,,,,,,,,,,,
20200716,San Saba,0,0,0,0,,,,,,,,,,,
20200716,Glasscock,0,0,0,0,,,,,,,,,,,
20200716,Cochran,0,0,0,0,,,,,,,,,,,
20200716,Baylor,0,0,0,0,,,,,,,,,,,
20200716,Haskell,0,0,0,0,,,,,,,,,,,
20200716,Menard,0,0,0,0,,,,,,,,,,,
20200716,Briscoe,0,0,0,0,,,,,,,,,,,
20200716,Knox,0,0,0,0,,,,,,,,,,,
20200716,Real,0,0,0,0,,,,,,,,,,,
20200716,Foard,0,0,0,0,,,,,,,,,,,
20200716,Motley,0,0,0,0,,,,,,,,,,,
20200716,Roberts,0,0,0,0,,,,,,,,,,,
20200716,Archer,0,0,0,0,,,,,,,,,,,
20200716,Childress,0,0,0,0,,,,,,,,,,,
20200716,Clay,0,0,0,0,,,,,,,,,,,
20200716,Coke,0,0,0,0,,,,,,,,,,,
20200716,Culberson,0,0,0,0,,,,,,,,,,,
20200716,Hardeman,0,0,0,0,,,,,,,,,,,
20200716,Stephens,0,0,0,0,,,,,,,,,,,
20200716,Kimble,0,0,0,0,,,,,,,,,,,
20200716,Kinney,0,0,0,0,,,,,,,,,,,
20200716,Lipscomb,0,0,0,0,,,,,,,,,,,
20200716,Edwards,0,0,0,0,,,,,,,,,,,
20200716,Cottle,0,0,0,0,,,,,,,,,,,
20200716,Hall,0,0,0,0,,,,,,,,,,,
20200716,Jeff Davis,0,0,0,0,,,,,,,,,,,
20200716,Upton,0,0,0,0,,,,,,,,,,,
20200716,Oldham,0,0,0,0,,,,,,,,,,,
20200716,Jack,0,0,0,0,,,,,,,,,,,
20200716,Throckmorton,0,0,0,0,,,,,,,,,,,
20200716,Dickens,0,0,0,0,,,,,,,,,,,
20200716,Shackelford,0,0,0,0,,,,,,,,,,,
20200716,Carson,0,0,0,0,,,,,,,,,,,
20200716,Concho,0,0,0,0,,,,,,,,,,,
20200716,Irion,0,0,0,0,,,,,,,,,,,
20200716,Armstrong,0,0,0,0,,,,,,,,,,,
20200716,Borden,0,0,0,0,,,,,,,,,,,
20200716,Loving,0,0,0,0,,,,,,,,,,,
20200716,Sterling,0,0,0,0,,,,,,,,,,,
20200716,King,0,0,0,0,,,,,,,,,,,
20200716,Stonewall,0,0,0,0,,,,,,,,,,,
