airbnb_property_id,rating,property_type,bathrooms,title,bedrooms,accommodates,average_daily_rate,img_cover,reviews,longitude,latitude,days_available,room_type,url,active_listing,city,listing_date,description
43196161.0,6.0,Apartment,1.0,GA Living Suites | 2Beds| Parking | Washer & Dryer,1,4.0,99.0,https://a0.muscache.com/im/pictures/13fc6ceb-a6a5-4bd9-8fdc-e21347e8c413.jpg?aki_policy=x_large,2.0,-96.78624,32.82603,145.0,Entire home/apt,https://www.airbnb.com/rooms/43196161,1.0,Dallas,,
41131376.0,9.7,Townhouse,3.0,Modern+Elevated BishopArts Luxury -Dazzling View-1,3,12.0,214.0,https://a0.muscache.com/im/pictures/b43aa0bd-ede6-4c6e-9456-329d087d00ed.jpg?aki_policy=x_large,43.0,-96.829,32.747,303.0,Entire home/apt,https://www.airbnb.com/rooms/41131376,1.0,Dallas,,
42580189.0,,Apartment,2.0,Dallas Sky line view - 2 Bedroom | Parking | Pool,2,6.0,128.0,https://a0.muscache.com/im/pictures/977a37b3-fbf5-4176-b873-ad94cbe2750d.jpg?aki_policy=x_large,0.0,-96.81469,32.79671,97.0,Entire home/apt,https://www.airbnb.com/rooms/42580189,1.0,Dallas,,
11754677.0,9.9,House,1.0,Nice Bedroom with private bathroom,1,2.0,51.0,https://a0.muscache.com/im/pictures/1e502e95-5d95-439b-a6cd-d813d5e5d96f.jpg?aki_policy=x_large,41.0,-96.83072,32.84507,130.0,Private room,https://www.airbnb.com/rooms/11754677,1.0,Dallas,,
1010154363.0,10.0,Apartment,2.0,Great Value 2BR Apt in Awesome Location!,2,6.0,82.0,https://odis.homeaway.com/odis/listing/c0283de7-1c2f-4a68-a5c2-e292d6f8d300.c10.jpg,1.0,-96.79471604,32.77671805,15.0,Entire home/apt,https://www.airbnb.com/rooms/1010154363,1.0,Dallas,,
15708430.0,9.9,House,1.0,14 minutes to Downtown/Fair Park!,1,1.0,33.0,https://a0.muscache.com/im/pictures/332e8ad7-4f56-44e1-95e1-67221d74dcf2.jpg?aki_policy=x_large,14.0,-96.67883,32.80831,61.0,Private room,https://www.airbnb.com/rooms/15708430,1.0,Dallas,,
45570063.0,,Apartment,2.0,2BR Apartment | Close to Convention Center,2,6.0,85.0,https://a0.muscache.com/im/pictures/miso/Hosting-45570063/original/0c8829da-1fdc-4dc1-8869-0a1cd901abd8.jpeg?aki_policy=x_large,0.0,-96.7977,32.781,61.0,Entire home/apt,https://www.airbnb.com/rooms/45570063,1.0,Dallas,,
29333609.0,9.3,Apartment,1.0,14th Floor | Down town View Apt with Parking,1,4.0,102.0,https://a0.muscache.com/im/pictures/85a03d4a-80dc-4cf7-9ef4-45916c7e6f01.jpg?aki_policy=x_large,23.0,-96.7976,32.77967,290.0,Entire home/apt,https://www.airbnb.com/rooms/29333609,1.0,Dallas,,
28338030.0,9.8,Condominium,1.5,East Dallas Space/Extended Stay Welcome,1,1.0,39.0,https://a0.muscache.com/im/pictures/865d98c1-5deb-4862-ae18-a97a2e0b2653.jpg?aki_policy=x_large,17.0,-96.76708,32.84398,173.0,Private room,https://www.airbnb.com/rooms/28338030,1.0,Dallas,,
45530108.0,,Serviced apartment,2.0,Entire apartment for you | 2BR in Dallas,2,5.0,57.0,https://a0.muscache.com/im/pictures/c8fb765f-7c13-4349-b56c-97df33d70590.jpg?aki_policy=x_large,0.0,-96.816,32.808,31.0,Entire home/apt,https://www.airbnb.com/rooms/45530108,1.0,Dallas,,
41937653.0,,House,1.0,Open Concept Home-a-Way from Home,3,6.0,258.0,https://a0.muscache.com/im/pictures/21072a8e-586c-43b1-b87b-32a0b94c44c3.jpg?aki_policy=x_large,0.0,-96.86695,32.94854,31.0,Entire home/apt,https://www.airbnb.com/rooms/41937653,1.0,Dallas,,
45259972.0,10.0,Apartment,1.0,Luxury Modern Oasis near Downtown Dallas,1,3.0,94.0,https://a0.muscache.com/im/pictures/b6d0b0b3-3c52-4359-85ec-e22af4d613fa.jpg?aki_policy=x_large,1.0,-96.77298,32.80655,31.0,Entire home/apt,https://www.airbnb.com/rooms/45259972,1.0,Dallas,,
46026323.0,,Serviced apartment,2.5,A place to call home | 2BR in Dallas,2,5.0,130.0,https://a0.muscache.com/im/pictures/53b72ba8-a84c-48e5-bc17-6bb560542cc6.jpg?aki_policy=x_large,0.0,-96.79,32.789,31.0,Entire home/apt,https://www.airbnb.com/rooms/46026323,1.0,Dallas,,
39152278.0,8.1,Apartment,1.0,🌞Lovely Modern Apt In Downtown Dallas/Deep Ellum,0,2.0,75.0,https://a0.muscache.com/im/pictures/81a8b0c6-5a52-4995-b03a-ba6f30b27abf.jpg?aki_policy=x_large,28.0,-96.77452,32.80565,212.0,Entire home/apt,https://www.airbnb.com/rooms/39152278,1.0,Dallas,,
38653880.0,,Apartment,1.0,KING BED | WIFI | GYM | PRIME LOCATION,1,4.0,128.0,https://a0.muscache.com/im/pictures/33d4489d-b236-4176-ab40-218a24d177fe.jpg?aki_policy=x_large,0.0,-96.75539,32.87945,12.0,Entire home/apt,https://www.airbnb.com/rooms/38653880,1.0,Dallas,,
45637709.0,,Condominium,1.0,Stylish Downtown Condo,1,4.0,101.0,https://a0.muscache.com/im/pictures/3627bf13-de95-40f2-93e1-97426841c09b.jpg?aki_policy=x_large,0.0,-96.79914,32.783570000000005,31.0,Entire home/apt,https://www.airbnb.com/rooms/45637709,1.0,Dallas,,
43073645.0,,Townhouse,2.5,Crisp N Clean Modern N Green & In the Uptown Scene,2,1.0,120.0,https://a0.muscache.com/im/pictures/bbdb8cbb-3324-46b3-be85-eda0ea2e5065.jpg?aki_policy=x_large,0.0,-96.79457,32.81476,45.0,Private room,https://www.airbnb.com/rooms/43073645,1.0,Dallas,,
42831176.0,,Apartment,1.0,Regal Stays | Corporate Unit | Premium Amenities | Best Location | Uptown Dallas,1,4.0,125.0,https://a0.muscache.com/im/pictures/480ccc0f-268a-4cb3-82ff-4be0fb7fa583.jpg?aki_policy=x_large,0.0,-96.79969,32.79461,135.0,Entire home/apt,https://www.airbnb.com/rooms/42831176,1.0,Dallas,,
1004228922.0,0.0,apartment,2.0,Regal Stays|Corporate Apartment|Prime Location|Downtown Dallas,2,6.0,93.0,https://odis.homeaway.com/odis/listing/a4ea74e3-1cd9-4a9c-bdd1-c3d993ef0616.c10.jpg,0.0,-96.7952063,32.77793,143.0,Entire home/apt,https://www.airbnb.com/rooms/1004228922,1.0,Dallas,,
28225619.0,9.4,House,2.5,Charming Craftsman Home 4 bd 2.5 ba home sleeps 12,4,12.0,186.0,https://a0.muscache.com/im/pictures/99c88e2c-5b4d-4e5a-8f35-07cf670d5817.jpg?aki_policy=x_large,48.0,-96.83,32.753,189.0,Entire home/apt,https://www.airbnb.com/rooms/28225619,1.0,Dallas,,
