airbnb_property_id,rating,days_available,bathrooms,title,bedrooms,accommodates,img_cover,reviews,longitude,latitude,adr,property_type,room_type,airbnb_url,active_listing,market
32585634,9.4,290,3.0,Beautiful house with view of Lake Lewisville lake,3,8,https://a0.muscache.com/im/pictures/f7229cf3-1927-4f45-a221-2a8ee72291ac.jpg?aki_policy=x_large,7,-96.8247,33.15012,202.168,House,Entire home/apt,https://www.airbnb.com/rooms/32585634,1,Frisco
41870762,8.7,193,2.5,Beautiful Resort Style Swimming Pool - 5 Bedrooms!,5,14,https://a0.muscache.com/im/pictures/3f90eff7-f968-42d6-8eac-62d9b6ad3dba.jpg?aki_policy=x_large,14,-96.79213,33.11019,277.457,House,Entire home/apt,https://www.airbnb.com/rooms/41870762,1,Frisco
33115729,8.8,249,1.0,The Star - Luxury One bedroom in Frisco,1,2,https://a0.muscache.com/im/pictures/a80623e7-5f9c-449d-8ed8-eeecdbc308a6.jpg?aki_policy=x_large,7,-96.82778,33.11274,122.96,Apartment,Entire home/apt,https://www.airbnb.com/rooms/33115729,1,Frisco
9797562,9.7,230,2.0,Charming 3BR near downtown Frisco / Toyota Stadium,3,8,https://a0.muscache.com/im/pictures/7bd54d33-16af-4ace-932c-e921727d89d2.jpg?aki_policy=x_large,72,-96.80993,33.14443,220.139,House,Entire home/apt,https://www.airbnb.com/rooms/9797562,1,Frisco
42643757,9.3,153,1.0,Cozy room Separate room with queen size bed,1,1,https://a0.muscache.com/im/pictures/602a35ab-e4da-4bdf-8812-896043e5c01e.jpg?aki_policy=x_large,6,-96.81961,33.14221,29.3708,House,Private room,https://www.airbnb.com/rooms/42643757,1,Frisco
21560708,9.8,7,2.0,Spacious 4bed home w/office & playground in Frisco,4,7,https://a0.muscache.com/im/pictures/356612f0-28b9-4087-94f2-095b4d714aef.jpg?aki_policy=x_large,9,-96.86629,33.14734,118.0,House,Entire home/apt,https://www.airbnb.com/rooms/21560708,1,Frisco
1003175762,0.0,286,1.0,The Star - Luxury Studio in Frisco,1,2,https://odis.homeaway.com/odis/listing/615c3e87-4523-4c8f-bf54-ea3e15d1dd12.c10.jpg,0,-96.82548159,33.10931196,104.091,apartment,Entire home/apt,https://www.airbnb.com/rooms/1003175762,1,Frisco
38327154,9.0,246,1.0,The Star - Luxury One bedroom in Frisco,1,2,https://a0.muscache.com/im/pictures/d2054b3b-f8bf-4b08-bee1-1429fd44529e.jpg?aki_policy=x_large,2,-96.82971,33.11125,129.586,Apartment,Entire home/apt,https://www.airbnb.com/rooms/38327154,1,Frisco
41371570,,30,1.5,Cozy Frisco Private Bedroom,1,2,https://a0.muscache.com/im/pictures/74b7f5df-a200-4747-8ca1-ce363abf8eb8.jpg?aki_policy=x_large,0,-96.78596,33.14822,35.0,House,Private room,https://www.airbnb.com/rooms/41371570,1,Frisco
32644082,8.0,26,4.5,Frisco Brand MASY house,4,12,https://a0.muscache.com/im/pictures/be852954-bfd1-4e9b-9626-d7e3c149a98c.jpg?aki_policy=x_large,1,-96.86179,33.18807,190.0,House,Entire home/apt,https://www.airbnb.com/rooms/32644082,1,Frisco
