airbnb_property_id,rating,property_type,bathrooms,title,bedrooms,accommodates,adr,img_cover,reviews,longitude,latitude,days_available,room_type,airbnb_url,active_listing,market
1002038282,10.0,house,2.5,Entire two-story house near TWU and Downtown,4,12,275.0,https://odis.homeaway.com/odis/listing/b8ff8659-ccf9-4a52-8b7a-d2e4fd769882.c10.jpg,3,-97.11020536,33.24018386,30,Entire home/apt,https://www.airbnb.com/rooms/1002038282,1,Denton
39470787,9.9,House,2.0,Casa del árbol de Primavera,3,8,175.498,https://a0.muscache.com/im/pictures/bb0fc736-1685-4c45-81a8-01d6b64d9faa.jpg?aki_policy=x_large,41,-97.10167,33.2165,355,Entire home/apt,https://www.airbnb.com/rooms/39470787,1,Denton
23764389,9.9,House,1.0,Bolivar Place (Cypress) walk to TWU/Downtown!,1,2,53.9389,https://a0.muscache.com/im/pictures/4b7cddbc-68cc-4c6a-9396-09e73f17a99e.jpg?aki_policy=x_large,135,-97.13568,33.22077,361,Private room,https://www.airbnb.com/rooms/23764389,1,Denton
34866409,9.9,House,1.0,Cozy and Dreamy Private Bedroom (Close to UNT/TWU),1,2,39.2992,https://a0.muscache.com/im/pictures/183d802a-83ae-4923-9775-af7ae98fad02.jpg?aki_policy=x_large,29,-97.15053,33.22215,185,Private room,https://www.airbnb.com/rooms/34866409,1,Denton
43413178,10.0,House,1.0,Cozy Space Near Downtown,2,4,84.2688,https://a0.muscache.com/im/pictures/6021b915-6650-403a-8a6d-e09fc627bc1d.jpg?aki_policy=x_large,14,-97.13652,33.22125,116,Entire home/apt,https://www.airbnb.com/rooms/43413178,1,Denton
42302867,10.0,Apartment,1.5,Downtown Apartment in Historic Scripture Building,1,2,231.214,https://a0.muscache.com/im/pictures/6a01b1e9-7d0a-4fa4-92c8-65374d36c528.jpg?aki_policy=x_large,11,-97.13484,33.21617,148,Entire home/apt,https://www.airbnb.com/rooms/42302867,1,Denton
21785880,9.7,House,1.0,"Affordable Private Room near UNT, TWU & the Square",1,2,31.8852,https://a0.muscache.com/im/pictures/b8f303e2-cab0-4e28-b9b1-2f6fd06b1792.jpg?aki_policy=x_large,66,-97.11571,33.21927,172,Private room,https://www.airbnb.com/rooms/21785880,1,Denton
39156784,9.9,Guesthouse,1.0,Idiot''s Hill Guest House,1,4,84.119,https://a0.muscache.com/im/pictures/2c36ea68-ff89-4e51-9fc4-81a321ef787e.jpg?aki_policy=x_large,55,-97.12575,33.23355,349,Entire home/apt,https://www.airbnb.com/rooms/39156784,1,Denton
15352731,9.9,Guesthouse,1.0,The Treehouse on Congress,1,2,105.154,https://a0.muscache.com/im/pictures/d7a7e7e6-a034-457b-bdc6-a8d58e6726f0.jpg?aki_policy=x_large,155,-97.14483,33.21955,252,Entire home/apt,https://www.airbnb.com/rooms/15352731,1,Denton
31717193,,Apartment,2.0,Twins Denton Getaway,2,8,198.918,https://a0.muscache.com/im/pictures/03f2e65d-befd-432e-8d7e-f5f8ae49d925.jpg?aki_policy=x_large,0,-97.12542,33.22487,164,Entire home/apt,https://www.airbnb.com/rooms/31717193,1,Denton
