airbnb_property_id,rating,days_available,bathrooms,title,bedrooms,accommodates,img_cover,reviews,longitude,latitude,adr,property_type,room_type,airbnb_url,active_listing,market
43813764,10.0,70,2.0,Texas Corporate Housing Solutions Professional Apt,2,5,https://a0.muscache.com/im/pictures/32bcb706-dbcb-43e8-aa96-2f1024a8ee74.jpg?aki_policy=x_large,5,-96.71778,33.13867,139.907,Apartment,Entire home/apt,https://www.airbnb.com/rooms/43813764,1,McKinney
17400415,9.0,131,2.0,Holly House in Historic McKinney Texas,3,8,https://a0.muscache.com/im/pictures/cef7d5af-751e-4910-be92-b1be45bc3cb1.jpg?aki_policy=x_large,28,-96.61762,33.19423,153.438,House,Entire home/apt,https://www.airbnb.com/rooms/17400415,1,McKinney
44084702,10.0,122,1.0,Texas Corporate Housing Solutions Professional Apt,1,3,https://a0.muscache.com/im/pictures/e4aad79d-e8e8-420a-abcf-988ec47cbd57.jpg?aki_policy=x_large,6,-96.71738,33.13822,100.108,Apartment,Entire home/apt,https://www.airbnb.com/rooms/44084702,1,McKinney
18370609,9.3,67,1.0,Basic room at Country quiet peaceful farm,1,1,https://a0.muscache.com/im/pictures/d503890c-6780-46b3-9d26-ce0e5e94f18e.jpg?aki_policy=x_large,11,-96.55723,33.14614,31.7742,House,Private room,https://www.airbnb.com/rooms/18370609,1,McKinney
6413175,9.7,60,2.0,"Relaxation Stay, Sauna, Pool Table",3,5,https://a0.muscache.com/im/pictures/09ce626e-e7e4-469a-98a2-266a73d9dde8.jpg?aki_policy=x_large,36,-96.64474,33.1949,279.273,House,Entire home/apt,https://www.airbnb.com/rooms/6413175,1,McKinney
1676165,9.9,109,1.0,Studio G in McKinney TX,0,3,https://a0.muscache.com/im/pictures/65857215/28bc15e2_original.jpg?aki_policy=x_large,118,-96.60078,33.16024,85.0,House,Entire home/apt,https://www.airbnb.com/rooms/1676165,1,McKinney
34781060,10.0,237,1.0,McKinney Garden House your Historic District Oasis,1,3,https://a0.muscache.com/im/pictures/900a901f-3feb-4025-b94e-6452f537e0d4.jpg?aki_policy=x_large,47,-96.62263,33.19526,91.9062,House,Entire home/apt,https://www.airbnb.com/rooms/34781060,1,McKinney
40234554,6.5,187,1.0,Small Private Room,1,1,https://a0.muscache.com/im/pictures/b491d58d-d6cd-4515-9a2f-c63ec565f85c.jpg?aki_policy=x_large,4,-96.71977,33.20963,22.4022,House,Private room,https://www.airbnb.com/rooms/40234554,1,McKinney
2571190,10.0,177,2.0,''Mockingbird House'' in Historic District,2,6,https://a0.muscache.com/im/pictures/0b65b981-1fb9-4d9c-80e9-613528f5d3e4.jpg?aki_policy=x_large,167,-96.61963,33.20465,97.3049,House,Entire home/apt,https://www.airbnb.com/rooms/2571190,1,McKinney
45144845,,31,2.0,Charming Farm House In The City Limits,4,10,https://a0.muscache.com/im/pictures/271b3a68-9f8e-46ec-bedc-81c7ac66ec04.jpg?aki_policy=x_large,0,-96.61923,33.26041,270.0,Cottage,Entire home/apt,https://www.airbnb.com/rooms/45144845,1,McKinney
29116576,9.8,164,1.0,Bluebird Cottage & Café 1,1,4,https://a0.muscache.com/im/pictures/adfaa655-9108-4a83-8a99-e7afacc994b9.jpg?aki_policy=x_large,104,-96.68087,33.25518,60.1667,Guesthouse,Entire home/apt,https://www.airbnb.com/rooms/29116576,1,McKinney
39951142,,31,1.0,Quiet nice house in modern neighborhood,1,4,https://a0.muscache.com/im/pictures/971d9b88-5f8a-49ce-9783-7aefa9d8a3f7.jpg?aki_policy=x_large,0,-96.75026,33.1956,130.0,House,Entire home/apt,https://www.airbnb.com/rooms/39951142,1,McKinney
45616760,,22,2.5,Charming Cottage Home with a POOL/SPA,4,7,https://a0.muscache.com/im/pictures/927e415e-31b8-4691-9270-f837fb532198.jpg?aki_policy=x_large,0,-96.64812,33.19497,285.0,House,Entire home/apt,https://www.airbnb.com/rooms/45616760,1,McKinney
29430328,10.0,364,1.0,The Magical Magnolia - POOL & Breakfast Included!,1,2,https://a0.muscache.com/im/pictures/88288f65-21da-4cf4-a8ec-e303b24791dc.jpg?aki_policy=x_large,37,-96.62595,33.19985,177.197,Bed and breakfast,Private room,https://www.airbnb.com/rooms/29430328,1,McKinney
43638894,9.5,91,2.0,The Grey Stay - Downtown - Breakfast Offered,3,10,https://a0.muscache.com/im/pictures/116c4757-12f0-464d-b231-6801854c868f.jpg?aki_policy=x_large,8,-96.62324,33.20668,170.8,House,Entire home/apt,https://www.airbnb.com/rooms/43638894,1,McKinney
24395315,10.0,326,1.0,Historic Downtown McKinney - 1 BR Guest Apartment,1,2,https://a0.muscache.com/im/pictures/00e09fbf-2d8b-401d-868e-587293b42e82.jpg?aki_policy=x_large,148,-96.619,33.206,86.0009,Guesthouse,Entire home/apt,https://www.airbnb.com/rooms/24395315,1,McKinney
6015601,9.9,338,1.0,2 Bedroom Suite on 2 Acre Homesite,2,4,https://a0.muscache.com/im/pictures/4fc8fb02-2de6-4c8e-b402-b5fe5762416d.jpg?aki_policy=x_large,327,-96.72528,33.22548,106.522,Guest suite,Entire home/apt,https://www.airbnb.com/rooms/6015601,1,McKinney
22903647,9.9,111,2.0,Getaway Cottage - Perfect -Listed Historic Home,2,4,https://a0.muscache.com/im/pictures/5acfd5ae-e144-4995-a40d-aa9f94dd9915.jpg?aki_policy=x_large,35,-96.622,33.198,138.472,House,Entire home/apt,https://www.airbnb.com/rooms/22903647,1,McKinney
